"COMP","DATE","AVG_VOL","MAX_VOL","MIN_VOL"
"SHOP","2023-12-05","0.24132929092798477","0.5849990844726562","0.0800018310546875"
"SHOP","2023-12-06","0.277617430075621","1.25","0.07990264892578125"
"SHOP","2023-12-07","0.20379736484625402","0.9799957275390625","0.05999755859375"
"SHOP","2023-12-08","0.18054072062174478","0.5883026123046875","0.0500030517578125"
"SHOP","2023-12-11","0.17302332168970352","0.7600021362304688","0.05999755859375"
"SHOP","2023-12-12","0.16657051673302284","0.7399978637695312","0.0500030517578125"
"SHOP","2023-12-13","0.23441099509214744","0.9300003051757812","0.06999969482421875"
"SHOP","2023-12-14","0.29446176382211536","1.8700027465820312","0.10500335693359375"
"SHOP","2023-12-15","0.2368603241749299","1.0","0.07999420166015625"
"TGT","2023-12-04","0.2748295710637019","0.8177032470703125","0.095001220703125"
"TGT","2023-12-05","0.24615361140324518","0.790008544921875","0.0550079345703125"
